Task ID,Task,Base (%),Spatial LoRA (%),Delta (pp)
0,pick up the black bowl from table center and place it on the plate,66.66666666666667,100.0,33.33333333333333
1,pick up the black bowl next to the cookie box and place it on the plate,100.0,100.0,0.0
2,pick up the black bowl next to the plate and place it on the plate,33.333333333333336,33.333333333333336,0.0
3,pick up the black bowl next to the ramekin and place it on the plate,33.333333333333336,33.333333333333336,0.0
4,pick up the black bowl on the cookie box and place it on the plate,33.333333333333336,66.66666666666667,33.333333333333336
5,pick up the black bowl on the ramekin and place it on the plate,33.333333333333336,100.0,66.66666666666666
6,pick up the black bowl on the stove and place it on the plate,66.66666666666667,100.0,33.33333333333333
7,pick up the black bowl on the wooden cabinet and place it on the plate,100.0,100.0,0.0
8,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,100.0,100.0,0.0
9,pick up the black bowl between the plate and the ramekin and place it on the plate,100.0,100.0,0.0
Overall,LIBERO-Spatial,66.66666666666666,83.33333333333334,16.666666666666686
